Date,Open,High,Low,Close,Volume,Taker_Buy_Volume
2018-01-01 00:00:00,13715.65000000,13715.65000000,13155.38000000,13410.03000000,1676.20480700,739.51866600
2018-01-01 04:00:00,13434.98000000,13818.55000000,13322.15000000,13570.35000000,1302.21483600,588.51622200
2018-01-01 08:00:00,13569.98000000,13735.24000000,13001.13000000,13220.56000000,1319.75593100,582.66829300
2018-01-01 12:00:00,13220.56000000,13330.00000000,12750.00000000,13247.00000000,1831.93315300,830.31474700
2018-01-01 16:00:00,13247.00000000,13290.65000000,12940.00000000,13240.37000000,1092.33723400,557.45377900
2018-01-01 20:00:00,13222.03000000,13599.70000000,13222.03000000,13380.00000000,1387.46988300,663.46723900
2018-01-02 00:00:00,13382.16000000,13850.00000000,13231.96000000,13353.78000000,2365.53292600,1101.55096800
2018-01-02 04:00:00,13353.78000000,13480.84000000,12890.02000000,13343.00000000,2980.31605300,1662.86362700
2018-01-02 08:00:00,13343.01000000,13617.28000000,13302.59000000,13490.00000000,2596.18267400,1578.44848900
2018-01-02 12:00:00,13490.00000000,13894.86000000,13450.46000000,13690.03000000,3365.87950800,2040.99208600
2018-01-02 16:00:00,13690.02000000,15473.49000000,13503.00000000,14732.75000000,5090.27348300,2865.71504300
2018-01-02 20:00:00,14710.02000000,15160.31000000,14544.00000000,14675.11000000,3679.90746700,2096.75652600
2018-01-03 00:00:00,14690.00000000,15299.99000000,14660.00000000,14818.49000000,3303.83359000,1891.84477200
2018-01-03 04:00:00,14805.81000000,15307.56000000,14795.05000000,15170.00000000,3211.70206700,1929.48360400
2018-01-03 08:00:00,15170.00000000,15172.99000000,14150.00000000,14730.05000000,4202.80294200,2336.72881300
2018-01-03 12:00:00,14764.73000000,15045.51000000,14400.04000000,15033.77000000,2082.73412500,1102.90914100
2018-01-03 16:00:00,15045.00000000,15130.00000000,14671.00000000,14700.01000000,1659.69735300,803.40617900
2018-01-03 20:00:00,14700.01000000,14990.00000000,14683.00000000,14919.51000000,1444.89756200,930.58105700
2018-01-04 00:00:00,14919.51000000,15280.00000000,14649.99000000,15119.97000000,3062.53564600,2038.42873100
2018-01-04 04:00:00,15119.97000000,15119.97000000,14685.00000000,14748.00000000,2839.90044200,1641.08422200
2018-01-04 08:00:00,14734.07000000,14800.00000000,13918.04000000,14539.97000000,4339.55205100,2486.38091400
2018-01-04 12:00:00,14539.99000000,14653.40000000,14181.88000000,14353.01000000,3960.83118500,2253.52595600
